age,minutes_played,goals,assist,top_speed,class
32,217,7,2,31.5,B
27,312,2,1,28.8,C
24,112,1,0,27.2,C
28,849,11,4,31.3,A+
30,893,5,8,29.7,A
19,165,0,0,32,B
34,746,2,4,29.9,B
28,393,1,4,29.5,B
28,393,4,1,27,C
26,75,0,0,28.6,C
30,111,3,0,25.4,D
28,613,1,2,31.3,B
27,671,4,1,27.9,B
30,497,1,2,29.9,C
23,482,0,0,28.4,C
28,66,1,1,29,C
30,41,0,0,28.8,D
25,867,9,1,32.4,A
19,76,0,0,26.8,C
29,80,0,0,29,C
28,156,0,0,27,C
32,15,0,0,25.4,D
27,883,4,1,30.6,B
30,1086,4,0,31.5,B
24,500,5,1,30.6,B
22,79,0,0,31.5,C
31,330,2,1,31.5,C
21,33,0,0,27.4,C
28,181,0,1,27.9,C
26,1215,11,8,33.1,A+
28,1316,16,5,30.8,A+
24,393,3,0,33.5,B
24,18,0,0,27.4,C
31,1122,10,1,33.3,A
23,272,0,1,32.21,B
27,326,2,1,28.8,C
22,7,0,0,27.7,C
30,1238,4,8,30.2,A+
22,840,3,4,32.21,A
25,560,3,0,33.71,B
35,737,6,0,28.8,C
33,349,4,0,29.5,C
24,32,0,0,28.1,C
24,9,0,0,23.8,D
26,842,8,1,30.8,B
25,354,2,0,27.4,C
32,292,0,0,29.5,C
29,10,0,0,29.2,C
24,761,0,2,29.2,B
33,1061,2,2,26.1,C
21,28,0,0,27.4,C
33,115,1,0,29,D
24,835,3,3,33.1,A
31,769,5,3,31.7,B
27,605,4,3,30.2,B
30,512,5,1,30.8,B
27,365,0,2,31.5,B
21,15,0,0,25.2,C
27,822,8,10,30.8,A+
22,359,1,3,31.3,B
22,12,0,0,33.6,B
29,515,0,2,31,B
29,220,1,0,29.2,C
29,146,0,0,29.5,C
31,153,1,0,26.8,D
38,1070,3,2,29.5,B
29,412,0,0,29.5,C
24,149,1,0,27,C
26,52,0,0,27,C
23,4,0,0,25.7,C
34,194,0,0,27,D
36,1002,16,1,29.7,B
24,350,1,2,31.7,B
28,197,0,3,32.8,B
22,278,0,0,30.4,C
26,213,0,0,30.4,C
33,1130,10,6,30.2,A+
26,432,2,0,29.5,C
24,35,0,0,24.8,D
26,530,2,2,27.9,B
25,215,0,0,31.3,C
26,431,0,0,29.9,C
24,21,0,0,25,D
33,195,1,0,27.2,D
29,891,7,0,32,B
21,366,2,1,30.8,B
29,513,3,6,28.1,B
23,403,1,3,28.6,B
29,378,3,2,27.4,C
22,685,3,1,32,B
30,979,5,2,29,B
35,865,2,3,28.6,B
24,860,2,2,32.8,B
29,652,4,0,32.4,B
32,247,2,0,26.3,D
24,374,1,0,32,B
36,898,1,1,31.5,C
27,501,0,0,28.4,C
21,29,0,0,23.2,D
26,917,6,2,30.8,B
32,749,3,3,30.4,B
25,49,1,0,29.5,C
24,15,1,0,25.4,C
32,1044,2,3,32,B
29,644,3,1,32.21,B
22,46,0,0,24.3,D
